date,test_year,sector,weight,sector_forward_return,contribution
20191010,2019,도시락및식사용조리식품제조업,0.2,-0.13278907509927507,-0.026557815019855015
20191010,2019,소프트웨어개발및공급업,0.2,0.07439999245090578,0.014879998490181158
20191010,2019,의약품제조업,0.2,0.10193353423141471,0.020386706846282944
20191010,2019,특수목적용기계제조업,0.2,0.095744373999751,0.0191488747999502
20191108,2019,특수목적용기계제조업,0.4,0.0012878853257980993,0.0005151541303192398
20191108,2019,기초화학물질제조업,0.1,0.0043092057847056164,0.00043092057847056165
20191108,2019,도시락및식사용조리식품제조업,0.1,-0.04851280640745004,-0.004851280640745004
20191108,2019,반도체제조업,0.1,0.4095412845882047,0.040954128458820474
20191108,2019,"전동기,발전기및전기변환ㆍ공급ㆍ제어장치제조업",0.1,-0.11524117619423135,-0.011524117619423136
20191108,2019,텔레비전방송업,0.1,-0.05854972155254212,-0.005854972155254212
20191108,2019,플라스틱제품제조업,0.1,-0.10276411641972416,-0.010276411641972417
20191209,2019,1차철강제조업,0.2,-0.08498171148620826,-0.016996342297241653
20191209,2019,소프트웨어개발및공급업,0.2,-0.12406019517807265,-0.024812039035614533
20191209,2019,의약품제조업,0.2,-0.04144600032349122,-0.008289200064698243
20191209,2019,전자부품제조업,0.2,0.10150929788696028,0.020301859577392056
20191209,2019,특수목적용기계제조업,0.2,0.16752125124436668,0.03350425024887334
20200102,2020,UNMAPPED_SECTOR,0.1,-0.0023621153201363043,-0.00023621153201363045
20200102,2020,"건축기술,엔지니어링및관련기술서비스업",0.1,-0.05388197259389138,-0.005388197259389139
20200102,2020,기초의약물질제조업,0.1,-0.06381024246856237,-0.006381024246856238
20200102,2020,기타화학제품제조업,0.1,0.11117585530194418,0.011117585530194419
20200102,2020,의료용기기제조업,0.1,-0.033595016450507886,-0.003359501645050789
20200102,2020,의약품제조업,0.1,0.00936011504586931,0.0009360115045869311
20200102,2020,자연과학및공학연구개발업,0.1,0.003824651806814794,0.0003824651806814794
20200102,2020,전자부품제조업,0.1,0.17084880387974355,0.017084880387974354
20200102,2020,통신및방송장비제조업,0.1,0.011086626262789778,0.001108662626278978
20200102,2020,특수목적용기계제조업,0.1,-0.10503692726009495,-0.010503692726009496
20200204,2020,전자부품제조업,0.4,-0.06990435253887983,-0.027961741015551933
20200204,2020,UNMAPPED_SECTOR,0.2,0.03226785010411226,0.006453570020822453
20200204,2020,기초의약물질제조업,0.2,0.44430173547945695,0.0888603470958914
20200204,2020,의료용기기제조업,0.2,-0.1147269291962929,-0.02294538583925858
20200304,2020,UNMAPPED_SECTOR,0.2,0.014066378255684908,0.0028132756511369816
20200304,2020,기초의약물질제조업,0.2,-0.29985513123807983,-0.059971026247615966
20200304,2020,소프트웨어개발및공급업,0.2,1.865770757078303,0.37315415141566066
20200304,2020,의료용기기제조업,0.2,0.12397919447554506,0.024795838895109015
20200304,2020,전자부품제조업,0.2,-0.27582125473791985,-0.055164250947583975
20200402,2020,기초의약물질제조업,0.2,0.21544162617794127,0.043088325235588254
20200402,2020,소프트웨어개발및공급업,0.2,0.21458897170604363,0.04291779434120873
20200402,2020,의료용기기제조업,0.2,0.14426288633608886,0.028852577267217773
20200402,2020,특수목적용기계제조업,0.2,0.18416120109783196,0.036832240219566395
20200402,2020,플라스틱제품제조업,0.2,0.23137425209904694,0.04627485041980939
